Principio attivo;Confezione di riferimento;ATC;AIC;Farmaco;Confezione;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 16 febbraio 2026;Differenza;Nota;Codice gruppo equivalenza
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;43207125;AMOXICILLINA E ACIDO CLAVULANICO KRKA;875 MG/125 MG COMPRESSE RIVESTITE CON FILM 12 COMPRESSE IN BLISTER OPA/AL/PVC-AL;KRKA D.D.NOVO MESTO;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36829024;AMOXICILLINA E ACIDO CLAVULANICO MYLAN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";PHARMACARE S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36969044;AMOXICILLINA E ACIDO CLAVULANICO MYLAN GENERICS;"""875 MG + 125 MG COMPRESSE"" 12 COMPRESSE IN BLISTER PE/AL";MYLAN S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36744011;AMOXICILLINA E ACIDO CLAVULANICO MYLAN GENERICS ITALIA;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";MYLAN S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37188024;AMOXICILLINA E ACIDO CLAVULANICO P-CARE;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";PHARMACARE S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37501020;AMOXICILLINA E ACIDO CLAVULANICO PENSA;"""875 MG + 125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";TOWA PHARMACEUTICAL S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;46908051;AMOXICILLINA E ACIDO CLAVULANICO PENSA PHARMA;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE IN BUSTINA"" 12 BUSTINE IN PET/AL/PE";TOWA PHARMACEUTICAL S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36815013;AMOXICILLINA E ACIDO CLAVULANICO PHARMACARE;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";PHARMACARE S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36815025;AMOXICILLINA E ACIDO CLAVULANICO PHARMACARE;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";PHARMACARE S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36707014;AMOXICILLINA E ACIDO CLAVULANICO RATIOPHARM ITALIA;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";TEVA B.V.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36980047;AMOXICILLINA E ACIDO CLAVULANICO SANDOZ;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN STRIP AL/PE";SANDOZ S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;41933033;AMOXICILLINA E ACIDO CLAVULANICO SUN;"""875 MG+125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC/PVDC/AL";SUN PHARMACEUTICAL IND. B.V.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;46355020;AMOXICILLINA E ACIDO CLAVULANICO TECNIGEN;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE PET/AL/PE";TECNIGEN S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;46355018;AMOXICILLINA E ACIDO CLAVULANICO TECNIGEN;"""875 MG + 125 MG COMPRESSA RIVESTITA CON FILM"" 12 COMPRESSE IN BLISTER OPA/AL/PVC/AL";TECNIGEN S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39743024;AMOXICILLINA E ACIDO CLAVULANICO TEVA GENERICS;"""875 MG/125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";TEVA ITALIA S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;50090012;AMOXICILLINA E ACIDO CLAVULANICO ZENTIVA;"""875+125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER AL/AL";ZENTIVA ITALIA S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;44262018;AMOXICILLINA E ACIDO CLAVULANICO ZENTIVA ITALIA;"""875MG/125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER OPA/AL/PVC/AL";ZENTIVA ITALIA S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;43981012;AMOXICILLINA E ACIDO CLAVULANICO ZENTIVA LAB;"""875 MG/125MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE PET/AL/PE";ZENTIVA ITALIA S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36801013;ANIVAL;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";DYMALIFE PHARMACEUTICAL S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36801025;ANIVAL;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";DYMALIFE PHARMACEUTICAL S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;42856082;AUGMENTIN;"""875 MG/125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";GMM FARMA S.R.L.;7,90 €;9,49 €;1,59 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;38291124;AUGMENTIN;"""875 MG/125 MG COMPRESSA RIVESTITA CON FILM"" 12 COMPRESSE";PROGRAMMI SANITARI INTEGRATI S.R.L.;7,90 €;9,49 €;1,59 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;42902041;AUGMENTIN;"""875 MG/125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";NEW PHARMASHOP S.R.L.;7,90 €;9,49 €;1,59 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;50326014;AUGMENTIN;"""875 MG/125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";SM PHARMA S.R.L.;7,90 €;9,49 €;1,59 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;42856094;AUGMENTIN;"""875 MG/125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";GMM FARMA S.R.L.;7,90 €;9,49 €;1,59 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785100;AUGMENTIN;"""875 MG/125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";MEDIFARM S.R.L.;7,90 €;9,49 €;1,59 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;42902039;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";NEW PHARMASHOP S.R.L.;7,90 €;9,49 €;1,59 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954070;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";BB FARMA S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954082;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";BB FARMA S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954094;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";BB FARMA S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954106;AUGMENTIN;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";BB FARMA S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954118;AUGMENTIN;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";BB FARMA S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488049;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";FARMA 1000 S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488052;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";FARMA 1000 S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488076;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";FARMA 1000 S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;42918058;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";FARMAVOX S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;42918060;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";FARMAVOX S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;41267030;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM""12 COMPRESSE";GEKOFAR S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;41267042;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";GEKOFAR S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;43388026;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";GENERAL PHARMA SOLUTIONS S.P.A.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;26089019;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";GLAXOSMITHKLINE S.P.A.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;26089108;AUGMENTIN;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";GLAXOSMITHKLINE S.P.A.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785050;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";MEDIFARM S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785062;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";MEDIFARM S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785074;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";MEDIFARM S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785086;AUGMENTIN;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";MEDIFARM S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785098;AUGMENTIN;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";MEDIFARM S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;38291047;AUGMENTIN;"""875 MG + 125MG COMPRESSE RIVESTITE CON FILM""12 COMPRESSE";PROGRAMMI SANITARI INTEGRATI S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;38291050;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM""12 COMPRESSE";PROGRAMMI SANITARI INTEGRATI S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;38291086;AUGMENTIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";PROGRAMMI SANITARI INTEGRATI S.R.L.;7,90 €;10,20 €;2,30 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37217066;AVEGGIO;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";A.G.I.P.S. FARMACEUTICI S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37185028;CLAVOMED;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";NEOPHARMED GENTILI S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;26138139;CLAVULIN;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";GLAXOSMITHKLINE S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;26138192;CLAVULIN;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";GLAXOSMITHKLINE S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36791022;HOMER;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";SO.SE.PHARM S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37335015;KLAVUX;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";LANOVA FARMACEUTICI S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37335027;KLAVUX;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";LANOVA FARMACEUTICI S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36896025;KRUXADE;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";EBERLIFE FARMACEUTICI S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36847010;MONDEX;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";S.F. GROUP S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36847022;MONDEX;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";S.F. GROUP S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;26141147;NEODUPLAMOX;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";NEOPHARMED GENTILI S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;26141198;NEODUPLAMOX;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";NEOPHARMED GENTILI S.P.A.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36808020;POSMOX;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";PHARMACARE S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36808018;POSMOX;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";PHARMACARE S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37912021;PURICLAV;"""875 MG + 125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";PHARMACARE S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37747045;STEMOX;"""875 MG/125 MG POLVERE PER SOSPENSIONE ORALE IN BUSTINE"" 12 BUSTINE IN PAP/AL/RESINA";STEWART ITALIA S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37747033;STEMOX;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PA-AL-PVC/AL";STEWART ITALIA S.R.L.;7,90 €;7,90 €;0,00 €;;CJA
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;45173059;AMOCLA;"""400 MG + 57 MG/5 ML POLVERE PER SOSPENSIONE ORALE"" 1 FLACONE IN VETRO AMBRATO DA 140 ML + CUCCHIAINO DOSATORE";ISTITUTO BIOCHIMICO NAZIONALE SAVIO S.R.L.;13,20 €;13,20 €;0,00 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;42173118;AMOXICILLINA E ACIDO CLAVULANICO EG STADA;"""BAMBINI 400 MG/57 MG/5 ML POLVERE PER SOSPENSIONE ORALE"" 1 FLACONE IN VETRO DA 140 ML CON CUCCHIAIO DOSATORE";EG S.P.A.;13,20 €;13,20 €;0,00 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;36980201;AMOXICILLINA E ACIDO CLAVULANICO SANDOZ;"""80 MG/ML+11,4 MG/ML POLVERE PER SOSPENSIONE ORALE"" FLACONE DA 140 ML CON CUCCHIAIO DOSATORE DA 5 ML";SANDOZ S.P.A.;13,20 €;13,20 €;0,00 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;37526074;AMOXICILLINA E ACIDO CLAVULANICO TEVA GROUP;"""80 MG/ML + 11,4 MG/ML POLVERE PER SOSPENSIONE ORALE"" FLACONE DA 140 ML";RATIOPHARM GMBH;13,20 €;13,20 €;0,00 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;48462067;AMOXICILLINA E ACIDO CLAVULANICO ZENTIVA GENERICS;"""400 MG/57 MG/5 ML POLVERE PER SOSPENSIORE ORALE"" 1 FLACONE DA 140 ML CON BICCHIERE DOSATORE DA 5 ML";ZENTIVA ITALIA S.R.L.;13,20 €;13,20 €;0,00 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;26089488;AUGMENTIN;"""BAMBINI 400 MG/57 MG/5 ML POLVERE PER SOSPENSIONE ORALE (AROMA FRUTTI MISTI)"" 1 FLACONE DA 140 ML CON SIRINGA PER SOMMINISTRAZIONE ORALE";GLAXOSMITHKLINE S.P.A.;13,20 €;15,03 €;1,83 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;26089514;AUGMENTIN;"""400 MG/57 MG/5 ML POLVERE PER SOSPENSIONE ORALE AROMA FRUTTI MISTI"" 1 FLACONE DA 140 ML IN VETRO CON CUCCHIAIO DOSATORE";GLAXOSMITHKLINE S.P.A.;13,20 €;15,03 €;1,83 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;26138228;CLAVULIN;"""BAMBINI POLVERE PER SOSPENSIONE ORALE"" FLACONE 140 ML SOSPENSIONE ESTEMPORANEA CON CUCCHIAIO DOSATORE";GLAXOSMITHKLINE S.P.A.;13,20 €;14,53 €;1,33 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;45442023;HOMERDELIK;"""400 MG/57 MG/5 ML POLVERE PER SOSPENSIONE ORALE GUSTO FRAGOLA"" 1 FLACONE IN VETRO DA 140 ML";SO.SE.PHARM S.R.L.;13,20 €;13,20 €;0,00 €;;CJD
Amoxicillina + Acido clavulanico;140 ML (80+11,4) MG/ML - USO ORALE;J01CR02;26141224;NEODUPLAMOX;"""BAMBINI POLVERE PER SOSPENSIONE ORALE"" FLACONE 140 ML SOSPENSIONE ESTEMPORANEA CON CUCCHIAIO DOSATORE";NEOPHARMED GENTILI S.P.A.;13,20 €;14,53 €;1,33 €;;CJD
Amoxicillina + Acido clavulanico;35 ML (80+11,4) MG/ML - USO ORALE;J01CR02;42173070;AMOXICILLINA E ACIDO CLAVULANICO EG STADA;"""BAMBINI 400 MG/57 MG/5 ML POLVERE PER SOSPENSIONE ORALE"" 1 FLACONE IN VETRO DA 35 ML CON CUCCHIAIO DOSATORE";EG S.P.A.;3,20 €;3,20 €;0,00 €;;CJB
Amoxicillina + Acido clavulanico;35 ML (80+11,4) MG/ML - USO ORALE;J01CR02;36980148;AMOXICILLINA E ACIDO CLAVULANICO SANDOZ;"""80 MG/ML + 11,4 MG/ML POLVERE PER SOSPENSIONE ORALE"" FLACONE DA 35 ML CON SIRINGA GRADUATA DA 5ML";SANDOZ S.P.A.;3,20 €;3,20 €;0,00 €;;CJB
Amoxicillina + Acido clavulanico;35 ML (80+11,4) MG/ML - USO ORALE;J01CR02;37526011;AMOXICILLINA E ACIDO CLAVULANICO TEVA GROUP;"""80 MG/ML + 11,4 MG/ML POLVERE PER SOSPENSIONE ORALE"" FLACONE DA 35 ML";RATIOPHARM GMBH;3,20 €;3,20 €;0,00 €;;CJB
Amoxicillina + Acido clavulanico;35 ML (80+11,4) MG/ML - USO ORALE;J01CR02;26089464;AUGMENTIN;"""400 MG/57 MG/5 ML POLVERE PER SOSPENSIONE ORALE AROMA FRUTTI MISTI"" 1 FLACONE DA 35 ML IN VETRO CON SIRINGA PER SOMMINISTRAZIONE ORALE";GLAXOSMITHKLINE S.P.A.;3,20 €;4,02 €;0,82 €;;CJB
Amoxicillina + Acido clavulanico;35 ML (80+11,4) MG/ML - USO ORALE;J01CR02;26138204;CLAVULIN;"""BAMBINI POLVERE PER SOSPENSIONE ORALE"" FLACONE 35 ML DI SOSPENSIONE ESTEMPORANEA CON SIRINGA DOSATRICE";GLAXOSMITHKLINE S.P.A.;3,20 €;3,52 €;0,32 €;;CJB
Amoxicillina + Acido clavulanico;35 ML (80+11,4) MG/ML - USO ORALE;J01CR02;26141200;NEODUPLAMOX;"""BAMBINI POLVERE PER SOSPENSIONE ORALE"" FLACONE 35ML CON SIRINGA DOSATRICE";NEOPHARMED GENTILI S.P.A.;3,20 €;3,52 €;0,32 €;;CJB
Amoxicillina + Acido clavulanico;70 ML (80+11,4) MG/ML - USO ORALE;J01CR02;37350028;ABIOCLAV;"""400 MG+57,5MG POLVERE PER SOSPENSIONE ORALE"" FLACONE 70ML CON CUCCHIAIO DOSATORE";S.F. GROUP S.R.L.;6,42 €;6,42 €;0,00 €;;CJC
Amoxicillina + Acido clavulanico;70 ML (80+11,4) MG/ML - USO ORALE;J01CR02;42173094;AMOXICILLINA E ACIDO CLAVULANICO EG STADA;"""BAMBINI 400 MG/57 MG/5 ML POLVERE PER SOSPENSIONE ORALE"" 1 FLACONE IN VETRO DA 70 ML CON CUCCHIAIO DOSATORE";EG S.P.A.;6,42 €;6,42 €;0,00 €;;CJC
Amoxicillina + Acido clavulanico;70 ML (80+11,4) MG/ML - USO ORALE;J01CR02;36980175;AMOXICILLINA E ACIDO CLAVULANICO SANDOZ;"""80 MG/ML + 11,4 MG/ML POLVERE PER SOSPENSIONE ORALE"" FLACONE DA 70 ML CON CUCCHIAIO DOSATORE DA 5ML";SANDOZ S.P.A.;6,42 €;6,42 €;0,00 €;;CJC
Amoxicillina + Acido clavulanico;70 ML (80+11,4) MG/ML - USO ORALE;J01CR02;37526047;AMOXICILLINA E ACIDO CLAVULANICO TEVA GROUP;"""80 MG/ML + 11,4 MG/ML POLVERE PER SOSPENSIONE ORALE"" FLACONE DA 70 ML";RATIOPHARM GMBH;6,42 €;6,42 €;0,00 €;;CJC
